     round      Average Empirical Errors  Average True Errors Error Differences
p = 1   k = 1           0.014600          0.130800        0.116200
p = 1   k = 3           0.055800          0.093800        0.038000
p = 1   k = 5           0.060400          0.090000        0.029600
p = 1   k = 7           0.063800          0.090000        0.026200
p = 1   k = 9           0.065400          0.090000        0.024600

p = 2   k = 1           0.014800          0.126200        0.111400
p = 2   k = 3           0.054400          0.092000        0.037600
p = 2   k = 5           0.062800          0.085400        0.022600
p = 2   k = 7           0.064200          0.085200        0.021000
p = 2   k = 9           0.063600          0.084400        0.020800

p = inf k = 1           0.014800          0.136200        0.121400
p = inf k = 3           0.056600          0.090400        0.033800
p = inf k = 5           0.062400          0.085200        0.022800
p = inf k = 7           0.063000          0.086400        0.023400
p = inf k = 9           0.065400          0.084200        0.018800
